time,cpu %,memory %
2024-06-14 16:56:50,0.00,0.08
2024-06-14 16:56:54,0.18,0.06
2024-06-14 16:56:58,0.00,0.06
2024-06-14 16:57:02,0.00,0.06
2024-06-14 16:57:06,0.00,0.10
2024-06-14 16:57:10,71.33,0.11
2024-06-14 16:57:14,76.58,0.10
2024-06-14 16:57:18,76.90,0.10
2024-06-14 16:57:22,79.33,0.10
2024-06-14 16:57:26,81.39,0.10
2024-06-14 16:57:30,83.27,0.10
2024-06-14 16:57:34,78.71,0.10
2024-06-14 16:57:38,88.49,0.10
2024-06-14 16:57:43,86.62,0.10
2024-06-14 16:57:47,84.62,0.10
2024-06-14 16:57:51,92.45,0.10
2024-06-14 16:57:55,79.13,0.11
2024-06-14 16:57:59,93.87,0.09
2024-06-14 16:58:03,86.24,0.10
2024-06-14 16:58:07,71.80,0.09
2024-06-14 16:58:11,0.00,0.09
2024-06-14 16:58:15,0.00,0.09
2024-06-14 16:58:19,0.00,0.09
2024-06-14 16:58:23,6.03,0.10
2024-06-14 16:58:27,86.37,0.10
2024-06-14 16:58:31,71.43,0.10
2024-06-14 16:58:35,73.16,0.11
2024-06-14 16:58:39,86.04,0.10
2024-06-14 16:58:43,75.71,0.10
2024-06-14 16:58:47,75.23,0.10
2024-06-14 16:58:51,72.96,0.10
2024-06-14 16:58:55,78.62,0.10
2024-06-14 16:58:59,89.13,0.10
2024-06-14 16:59:03,90.51,0.10
2024-06-14 16:59:07,96.93,0.11
2024-06-14 16:59:11,79.74,0.09
2024-06-14 16:59:15,83.87,0.10
2024-06-14 16:59:19,87.88,0.10
2024-06-14 16:59:23,44.46,0.10
2024-06-14 16:59:27,0.00,0.10
2024-06-14 16:59:31,0.00,0.10
2024-06-14 16:59:35,0.00,0.10
