time,cpu %,memory %
2024-06-14 16:15:11,0.00,0.00
2024-06-14 16:15:12,0.00,0.00
2024-06-14 16:15:13,0.00,0.00
2024-06-14 16:15:14,0.00,0.00
2024-06-14 16:15:16,0.00,0.00
2024-06-14 16:15:17,0.00,0.00
2024-06-14 16:15:18,0.00,0.00
2024-06-14 16:15:19,0.00,0.00
2024-06-14 16:15:20,0.00,0.00
2024-06-14 16:15:22,0.00,0.00
2024-06-14 16:15:23,0.00,0.00
2024-06-14 16:15:24,0.00,0.00
2024-06-14 16:15:25,0.00,0.00
2024-06-14 16:15:26,0.00,0.00
2024-06-14 16:15:28,0.00,0.00
2024-06-14 16:15:29,0.00,0.00
2024-06-14 16:15:30,0.00,0.00
2024-06-14 16:15:31,0.00,0.00
2024-06-14 16:15:32,0.00,0.00
2024-06-14 16:15:34,0.00,0.00
2024-06-14 16:15:35,0.00,0.00
2024-06-14 16:15:36,0.00,0.00
2024-06-14 16:15:37,0.00,0.00
2024-06-14 16:15:38,0.00,0.00
2024-06-14 16:15:40,0.00,0.00
2024-06-14 16:15:41,0.00,0.00
2024-06-14 16:15:42,0.00,0.00
2024-06-14 16:15:43,0.00,0.00
2024-06-14 16:15:45,0.00,0.00
2024-06-14 16:15:46,0.00,0.00
2024-06-14 16:15:47,0.00,0.00
2024-06-14 16:15:48,0.00,0.00
2024-06-14 16:15:49,0.00,0.00
2024-06-14 16:15:51,0.00,0.00
2024-06-14 16:15:52,0.00,0.00
2024-06-14 16:15:53,0.00,0.00
2024-06-14 16:15:54,0.00,0.00
2024-06-14 16:15:55,0.00,0.00
2024-06-14 16:15:56,0.00,0.00
2024-06-14 16:15:58,0.00,0.00
2024-06-14 16:15:59,0.00,0.00
2024-06-14 16:16:00,0.00,0.00
2024-06-14 16:16:01,0.00,0.00
2024-06-14 16:16:03,0.00,0.00
2024-06-14 16:16:04,0.00,0.00
2024-06-14 16:16:05,0.00,0.00
2024-06-14 16:16:06,0.00,0.00
2024-06-14 16:16:07,0.00,0.00
2024-06-14 16:16:09,0.00,0.00
2024-06-14 16:16:10,0.00,0.00
2024-06-14 16:16:11,0.00,0.00
2024-06-14 16:16:12,0.00,0.00
2024-06-14 16:16:14,0.00,0.00
2024-06-14 16:16:15,0.00,0.00
2024-06-14 16:16:16,0.00,0.00
2024-06-14 16:16:17,0.00,0.00
2024-06-14 16:16:18,0.00,0.00
2024-06-14 16:16:20,0.00,0.00
2024-06-14 16:16:21,0.00,0.00
2024-06-14 16:16:22,0.00,0.00
2024-06-14 16:16:23,0.00,0.00
2024-06-14 16:16:24,0.00,0.00
2024-06-14 16:16:26,0.00,0.00
2024-06-14 16:16:27,0.00,0.00
2024-06-14 16:16:28,0.00,0.00
2024-06-14 16:16:29,0.00,0.00
2024-06-14 16:16:31,0.00,0.00
2024-06-14 16:16:32,0.00,0.00
2024-06-14 16:16:33,0.00,0.00
2024-06-14 16:16:35,0.00,0.00
2024-06-14 16:16:36,0.00,0.00
2024-06-14 16:16:37,0.00,0.00
2024-06-14 16:16:38,0.00,0.00
2024-06-14 16:16:39,0.00,0.00
2024-06-14 16:16:41,0.00,0.00
2024-06-14 16:16:42,0.00,0.00
2024-06-14 16:16:43,0.00,0.00
2024-06-14 16:16:44,0.00,0.00
2024-06-14 16:16:46,0.00,0.00
2024-06-14 16:16:47,0.00,0.00
2024-06-14 16:16:48,0.00,0.00
2024-06-14 16:16:49,0.00,0.00
2024-06-14 16:16:51,0.00,0.00
2024-06-14 16:16:52,0.00,0.00
2024-06-14 16:16:53,0.00,0.00
2024-06-14 16:16:54,0.00,0.00
2024-06-14 16:16:55,0.00,0.00
2024-06-14 16:16:57,0.00,0.00
2024-06-14 16:16:58,0.00,0.00
2024-06-14 16:16:59,0.00,0.00
2024-06-14 16:17:00,0.00,0.00
2024-06-14 16:17:02,0.00,0.00
2024-06-14 16:17:03,0.00,0.00
2024-06-14 16:17:04,0.00,0.00
2024-06-14 16:17:05,0.00,0.00
2024-06-14 16:17:06,0.00,0.00
2024-06-14 16:17:08,0.00,0.00
2024-06-14 16:17:09,0.00,0.00
2024-06-14 16:17:10,0.00,0.00
2024-06-14 16:17:11,0.00,0.00
2024-06-14 16:17:12,0.00,0.00
2024-06-14 16:17:14,0.00,0.00
2024-06-14 16:17:15,0.00,0.00
2024-06-14 16:17:16,0.00,0.00
2024-06-14 16:17:17,0.00,0.00
2024-06-14 16:17:19,0.00,0.00
2024-06-14 16:17:20,0.00,0.00
2024-06-14 16:17:21,0.00,0.00
2024-06-14 16:17:22,0.00,0.00
2024-06-14 16:17:23,0.00,0.00
2024-06-14 16:17:24,0.00,0.00
2024-06-14 16:17:26,0.00,0.00
2024-06-14 16:17:27,0.00,0.00
2024-06-14 16:17:28,0.00,0.00
2024-06-14 16:17:29,0.00,0.00
2024-06-14 16:17:30,0.00,0.00
2024-06-14 16:17:32,0.00,0.00
2024-06-14 16:17:33,0.00,0.00
2024-06-14 16:17:34,0.00,0.00
2024-06-14 16:17:35,0.00,0.00
2024-06-14 16:17:36,0.00,0.00
2024-06-14 16:17:38,0.00,0.00
2024-06-14 16:17:39,0.00,0.00
2024-06-14 16:17:40,0.00,0.00
2024-06-14 16:17:41,0.00,0.00
2024-06-14 16:17:42,0.00,0.00
2024-06-14 16:17:43,0.00,0.00
2024-06-14 16:17:45,0.00,0.00
2024-06-14 16:17:46,0.00,0.00
2024-06-14 16:17:47,0.00,0.00
2024-06-14 16:17:48,0.00,0.00
2024-06-14 16:17:49,0.00,0.00
2024-06-14 16:17:51,0.00,0.00
2024-06-14 16:17:52,0.00,0.00
2024-06-14 16:17:53,0.00,0.00
2024-06-14 16:17:54,0.00,0.00
2024-06-14 16:17:55,0.00,0.00
2024-06-14 16:17:56,0.00,0.00
2024-06-14 16:17:58,0.00,0.00
2024-06-14 16:17:59,0.00,0.00
2024-06-14 16:18:00,0.00,0.00
2024-06-14 16:18:01,0.00,0.00
2024-06-14 16:18:02,0.00,0.00
2024-06-14 16:18:04,0.00,0.00
2024-06-14 16:18:05,0.00,0.00
2024-06-14 16:18:06,0.00,0.00
2024-06-14 16:18:07,0.00,0.00
time,cpu %,memory %
2024-06-14 16:18:59,0.00,0.09
2024-06-14 16:19:03,0.00,0.09
2024-06-14 16:19:07,0.00,0.09
2024-06-14 16:19:11,0.00,0.09
2024-06-14 16:19:15,0.00,0.09
2024-06-14 16:19:19,96.57,0.09
2024-06-14 16:19:23,0.06,0.09
2024-06-14 16:19:27,0.00,0.09
2024-06-14 16:19:31,0.00,0.09
time,cpu %,memory %
2024-06-14 16:19:41,0.00,0.09
2024-06-14 16:19:45,0.00,0.09
2024-06-14 16:19:49,0.19,0.09
2024-06-14 16:19:53,0.11,0.09
2024-06-14 16:19:57,0.00,0.09
2024-06-14 16:20:01,0.00,0.09
2024-06-14 16:20:05,0.00,0.09
2024-06-14 16:20:09,72.69,0.10
2024-06-14 16:20:13,0.00,0.10
2024-06-14 16:20:17,0.00,0.09
2024-06-14 16:20:21,0.00,0.09
2024-06-14 16:20:25,0.00,0.09
2024-06-14 16:20:29,0.00,0.09
2024-06-14 16:20:33,0.00,0.09
2024-06-14 16:20:37,0.00,0.09
2024-06-14 16:20:41,72.46,0.10
2024-06-14 16:20:45,102.84,0.10
2024-06-14 16:20:49,0.00,0.09
2024-06-14 16:20:53,0.00,0.09
2024-06-14 16:20:57,0.00,0.09
2024-06-14 16:21:01,0.00,0.09
2024-06-14 16:21:05,0.00,0.09
2024-06-14 16:21:09,0.00,0.09
2024-06-14 16:21:13,0.00,0.09
2024-06-14 16:21:17,0.00,0.09
2024-06-14 16:21:21,0.00,0.09
2024-06-14 16:21:25,0.00,0.09
2024-06-14 16:21:29,0.00,0.09
2024-06-14 16:21:33,0.00,0.09
2024-06-14 16:21:38,0.00,0.11
2024-06-14 16:21:42,91.99,0.10
2024-06-14 16:21:46,80.31,0.09
2024-06-14 16:21:50,0.00,0.09
2024-06-14 16:21:54,0.00,0.10
2024-06-14 16:21:58,90.85,0.10
2024-06-14 16:22:02,93.11,0.10
2024-06-14 16:22:06,0.00,0.09
2024-06-14 16:22:10,0.00,0.10
2024-06-14 16:22:14,92.94,0.09
2024-06-14 16:22:18,81.88,0.10
2024-06-14 16:22:22,101.44,0.09
2024-06-14 16:22:26,100.57,0.10
2024-06-14 16:22:30,96.80,0.10
2024-06-14 16:22:34,89.76,0.10
2024-06-14 16:22:38,83.62,0.10
2024-06-14 16:22:42,0.00,0.09
2024-06-14 16:22:46,0.00,0.09
2024-06-14 16:22:50,0.00,0.09
2024-06-14 16:22:54,0.00,0.09
2024-06-14 16:22:58,0.00,0.09
2024-06-14 16:23:02,0.00,0.09
2024-06-14 16:23:06,0.00,0.10
2024-06-14 16:23:10,77.82,0.10
2024-06-14 16:23:14,104.71,0.10
2024-06-14 16:23:18,102.29,0.10
2024-06-14 16:23:22,88.07,0.09
2024-06-14 16:23:26,83.01,0.10
2024-06-14 16:23:30,89.82,0.11
2024-06-14 16:23:34,93.65,0.10
2024-06-14 16:23:38,41.05,0.09
2024-06-14 16:23:42,0.00,0.09
2024-06-14 16:23:46,0.00,0.10
2024-06-14 16:23:50,110.11,0.10
2024-06-14 16:23:54,98.11,0.10
2024-06-14 16:23:58,84.44,0.10
2024-06-14 16:24:02,105.01,0.10
2024-06-14 16:24:07,88.08,0.10
2024-06-14 16:24:11,102.45,0.09
2024-06-14 16:24:15,107.34,0.10
2024-06-14 16:24:19,10.43,0.09
2024-06-14 16:24:23,0.00,0.09
2024-06-14 16:24:27,0.00,0.09
2024-06-14 16:24:31,0.00,0.09
2024-06-14 16:24:35,0.00,0.09
2024-06-14 16:24:39,0.00,0.09
2024-06-14 16:24:43,0.00,0.09
2024-06-14 16:24:47,0.00,0.09
2024-06-14 16:24:51,0.00,0.09
2024-06-14 16:24:55,0.00,0.09
2024-06-14 16:24:59,0.00,0.09
