time,cpu %,memory %
2024-06-10 15:54:27,0.02,0.06
2024-06-10 15:54:31,0.02,0.06
2024-06-10 15:54:35,13.97,0.08
2024-06-10 15:54:39,0.02,0.08
2024-06-10 15:54:43,0.02,0.09
2024-06-10 15:54:47,0.02,0.10
2024-06-10 15:54:51,0.02,0.09
2024-06-10 15:54:55,0.02,0.09
2024-06-10 15:54:59,0.02,0.09
2024-06-10 15:55:03,0.02,0.09
2024-06-10 15:55:07,8.55,0.10
2024-06-10 15:55:12,63.81,0.10
2024-06-10 15:55:16,58.51,0.09
2024-06-10 15:55:20,0.04,0.09
2024-06-10 15:55:24,0.02,0.09
2024-06-10 15:55:28,0.02,0.09
2024-06-10 15:55:32,0.02,0.09
2024-06-10 15:55:36,0.04,0.10
2024-06-10 15:55:40,32.86,0.10
2024-06-10 15:55:44,39.30,0.10
2024-06-10 15:55:48,0.02,0.09
2024-06-10 15:55:52,0.02,0.10
2024-06-10 15:55:56,43.63,0.10
2024-06-10 15:56:00,38.22,0.10
2024-06-10 15:56:04,0.02,0.09
2024-06-10 15:56:08,0.02,0.10
2024-06-10 15:56:12,37.00,0.10
2024-06-10 15:56:16,47.95,0.10
2024-06-10 15:56:20,34.48,0.10
2024-06-10 15:56:24,33.90,0.09
2024-06-10 15:56:28,34.17,0.10
2024-06-10 15:56:32,5.13,0.09
2024-06-10 15:56:36,5.70,0.09
2024-06-10 15:56:40,0.02,0.09
2024-06-10 15:56:44,0.03,0.09
2024-06-10 15:56:48,0.04,0.10
2024-06-10 15:56:52,28.97,0.09
2024-06-10 15:56:56,29.09,0.10
2024-06-10 15:57:00,37.16,0.10
2024-06-10 15:57:04,36.61,0.10
2024-06-10 15:57:08,31.71,0.09
2024-06-10 15:57:12,4.76,0.09
2024-06-10 15:57:16,32.55,0.10
2024-06-10 15:57:20,0.03,0.09
2024-06-10 15:57:24,0.03,0.09
2024-06-10 15:57:28,61.67,0.10
2024-06-10 15:57:32,26.19,0.10
2024-06-10 15:57:36,26.91,0.10
2024-06-10 15:57:40,6.37,0.10
2024-06-10 15:57:44,4.30,0.09
2024-06-10 15:57:48,4.11,0.10
2024-06-10 15:57:52,11.73,0.10
2024-06-10 15:57:56,29.07,0.10
2024-06-10 15:58:00,0.02,0.10
2024-06-10 15:58:04,0.03,0.10
2024-06-10 15:58:08,0.02,0.10
2024-06-10 15:58:12,0.03,0.10
2024-06-10 15:58:16,0.02,0.10
2024-06-10 15:58:20,0.03,0.10
2024-06-10 15:58:24,59.55,0.10
2024-06-10 15:58:28,44.73,0.10
2024-06-10 15:58:32,65.94,0.10
2024-06-10 15:58:36,26.72,0.10
2024-06-10 15:58:40,32.25,0.11
2024-06-10 15:58:44,32.17,0.10
2024-06-10 15:58:48,31.93,0.09
2024-06-10 15:58:52,65.83,0.09
2024-06-10 15:58:56,47.04,0.09
2024-06-10 15:59:00,21.20,0.10
2024-06-10 15:59:04,8.45,0.09
2024-06-10 15:59:08,3.79,0.09
2024-06-10 15:59:12,4.92,0.09
2024-06-10 15:59:16,5.09,0.09
2024-06-10 15:59:20,5.18,0.09
2024-06-10 15:59:24,0.03,0.09
2024-06-10 15:59:28,0.03,0.09
2024-06-10 15:59:32,0.07,0.10
2024-06-10 15:59:36,0.03,0.09
2024-06-10 15:59:40,0.02,0.09
2024-06-10 15:59:44,66.23,0.10
2024-06-10 15:59:48,48.54,0.09
2024-06-10 15:59:52,33.76,0.10
2024-06-10 15:59:56,31.37,0.10
2024-06-10 16:00:00,35.11,0.11
2024-06-10 16:00:05,52.27,0.10
