time,cpu %,memory %
2024-07-07 09:54:13,0.02,0.12
2024-07-07 09:54:17,0.02,0.17
2024-07-07 09:54:21,73.81,0.17
2024-07-07 09:54:25,70.92,0.17
2024-07-07 09:54:29,0.01,0.17
2024-07-07 09:54:33,0.04,0.17
2024-07-07 09:54:37,0.02,0.17
2024-07-07 09:54:41,67.18,0.17
2024-07-07 09:54:45,62.36,0.17
2024-07-07 09:54:49,0.02,0.17
2024-07-07 09:54:53,0.02,0.17
2024-07-07 09:54:57,73.42,0.17
2024-07-07 09:55:01,69.92,0.17
2024-07-07 09:55:05,12.81,0.16
2024-07-07 09:55:09,0.02,0.16
2024-07-07 09:55:13,0.02,0.16
2024-07-07 09:55:17,0.03,0.16
2024-07-07 09:55:21,32.94,0.18
2024-07-07 09:55:25,62.07,0.17
2024-07-07 09:55:29,63.78,0.18
2024-07-07 09:55:33,66.20,0.17
2024-07-07 09:55:37,67.85,0.17
2024-07-07 09:55:41,65.93,0.17
2024-07-07 09:55:45,54.90,0.17
2024-07-07 09:55:49,58.24,0.17
2024-07-07 09:55:53,0.02,0.17
2024-07-07 09:55:57,0.02,0.17
2024-07-07 09:56:01,0.03,0.16
2024-07-07 09:56:05,56.82,0.17
2024-07-07 09:56:09,72.74,0.16
2024-07-07 09:56:13,76.37,0.17
2024-07-07 09:56:17,65.10,0.17
2024-07-07 09:56:21,69.65,0.17
2024-07-07 09:56:25,68.31,0.17
2024-07-07 09:56:30,66.49,0.17
2024-07-07 09:56:34,0.02,0.16
2024-07-07 09:56:38,0.01,0.16
2024-07-07 09:56:42,0.01,0.17
2024-07-07 09:56:46,57.94,0.17
2024-07-07 09:56:50,56.61,0.17
2024-07-07 09:56:54,53.87,0.17
2024-07-07 09:56:58,58.22,0.17
2024-07-07 09:57:02,52.91,0.17
2024-07-07 09:57:06,60.59,0.17
2024-07-07 09:57:10,54.82,0.17
2024-07-07 09:57:14,0.02,0.16
2024-07-07 09:57:18,0.02,0.16
2024-07-07 09:57:22,0.02,0.17
2024-07-07 09:57:26,73.02,0.18
2024-07-07 09:57:30,67.69,0.17
2024-07-07 09:57:34,69.27,0.16
2024-07-07 09:57:38,47.14,0.17
2024-07-07 09:57:42,57.21,0.16
2024-07-07 09:57:46,66.81,0.17
2024-07-07 09:57:50,59.81,0.17
2024-07-07 09:57:54,67.97,0.17
2024-07-07 09:57:58,66.51,0.17
2024-07-07 09:58:02,60.14,0.17
2024-07-07 09:58:06,53.65,0.16
2024-07-07 09:58:10,69.14,0.17
2024-07-07 09:58:14,69.54,0.17
2024-07-07 09:58:18,62.00,0.17
2024-07-07 09:58:22,72.37,0.16
2024-07-07 09:58:26,0.02,0.16
2024-07-07 09:58:30,0.02,0.16
2024-07-07 09:58:34,0.02,0.16
2024-07-07 09:58:38,51.95,0.17
2024-07-07 09:58:42,71.75,0.17
2024-07-07 09:58:46,62.49,0.16
2024-07-07 09:58:50,46.09,0.16
2024-07-07 09:58:54,63.42,0.17
2024-07-07 09:58:58,53.49,0.17
2024-07-07 09:59:02,67.12,0.16
2024-07-07 09:59:06,61.29,0.17
2024-07-07 09:59:10,53.68,0.17
2024-07-07 09:59:14,72.54,0.17
2024-07-07 09:59:18,69.51,0.17
2024-07-07 09:59:22,79.44,0.17
2024-07-07 09:59:26,79.81,0.17
2024-07-07 09:59:30,50.54,0.16
2024-07-07 09:59:34,57.36,0.16
2024-07-07 09:59:38,0.01,0.16
2024-07-07 09:59:42,0.03,0.16
2024-07-07 09:59:46,0.01,0.16
2024-07-07 09:59:50,48.59,0.17
2024-07-07 09:59:54,46.91,0.17
2024-07-07 09:59:58,58.43,0.17
2024-07-07 10:00:02,71.78,0.16
2024-07-07 10:00:06,47.34,0.17
2024-07-07 10:00:10,63.89,0.16
2024-07-07 10:00:14,89.04,0.17
2024-07-07 10:00:18,67.31,0.17
2024-07-07 10:00:22,57.64,0.17
2024-07-07 10:00:26,66.28,0.17
2024-07-07 10:00:30,79.83,0.17
2024-07-07 10:00:34,77.28,0.17
2024-07-07 10:00:38,64.72,0.17
2024-07-07 10:00:42,65.02,0.17
2024-07-07 10:00:46,63.64,0.16
2024-07-07 10:00:50,0.02,0.16
2024-07-07 10:00:54,0.02,0.16
2024-07-07 10:00:58,0.02,0.17
2024-07-07 10:01:02,69.69,0.17
2024-07-07 10:01:06,58.43,0.18
2024-07-07 10:01:10,0.01,0.17
2024-07-07 10:01:14,0.02,0.17
2024-07-07 10:01:18,0.02,0.18
2024-07-07 10:01:22,68.62,0.17
2024-07-07 10:01:26,70.67,0.17
2024-07-07 10:01:30,0.02,0.17
2024-07-07 10:01:34,0.01,0.17
2024-07-07 10:01:38,0.02,0.18
2024-07-07 10:01:42,90.05,0.17
2024-07-07 10:01:46,86.78,0.18
2024-07-07 10:01:51,0.02,0.17
2024-07-07 10:01:55,0.02,0.17
2024-07-07 10:01:59,0.02,0.17
2024-07-07 10:02:03,0.05,0.17
2024-07-07 10:02:07,0.03,0.17
2024-07-07 10:02:11,0.02,0.17
2024-07-07 10:02:15,34.04,0.18
2024-07-07 10:02:19,69.50,0.17
2024-07-07 10:02:23,66.08,0.18
2024-07-07 10:02:27,83.18,0.17
2024-07-07 10:02:31,87.73,0.18
2024-07-07 10:02:35,91.70,0.17
